				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	83.0435	94.3478	111.3471	
PARTITION (0,1)	89.1304	90.0000	111.7522	
PARTITION (1,0)	85.6522	90.8696	111.5814	
PARTITION (1,1)	80.4348	89.5652	111.3041	
PARTITION (2,0)	79.5652	91.7391	111.7114	
PARTITION (2,1)	79.5652	92.1739	111.0751	
PARTITION (3,0)	90.8696	90.8696	111.2736	
PARTITION (3,1)	80.4348	94.7826	111.1259	
PARTITION (4,0)	82.1739	93.0435	111.3994	
PARTITION (4,1)	85.2174	93.0435	110.9691	
MEAN			83.6087	92.0435	111.3539	
STDEV			3.8105	1.6733	0.2480	
