				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	78.8462	92.3077	23.0653	
PARTITION (0,1)	88.4615	85.5769	22.9485	
PARTITION (1,0)	78.8462	89.4231	22.8213	
PARTITION (1,1)	82.6923	87.5000	22.9011	
PARTITION (2,0)	79.8077	88.4615	22.9525	
PARTITION (2,1)	85.5769	83.6538	23.0549	
PARTITION (3,0)	82.6923	88.4615	22.8355	
PARTITION (3,1)	79.8077	93.2692	23.1213	
PARTITION (4,0)	83.6538	87.5000	22.9713	
PARTITION (4,1)	82.6923	92.3077	23.1803	
MEAN			82.3077	88.8462	22.9852	
STDEV			2.9542	2.9228	0.1124	
