				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	95.4225	97.8947	99.3435	
PARTITION (0,1)	94.3860	97.8873	97.9406	
PARTITION (1,0)	95.4225	97.8947	98.8046	
PARTITION (1,1)	92.6316	98.2394	98.3566	
PARTITION (2,0)	95.7747	98.2456	98.8863	
PARTITION (2,1)	95.7895	98.2394	97.8616	
PARTITION (3,0)	95.4225	98.2456	98.9665	
PARTITION (3,1)	95.4386	97.5352	97.9250	
PARTITION (4,0)	94.3662	97.5439	98.9295	
PARTITION (4,1)	94.3860	97.5352	98.0554	
MEAN			94.9040	97.9261	98.5069	
STDEV			0.9286	0.2932	0.5125	
