				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	95.4225	97.8947	94.6058	
PARTITION (0,1)	96.4912	98.2394	93.3765	
PARTITION (1,0)	96.4789	97.8947	93.8586	
PARTITION (1,1)	93.6842	98.2394	93.3733	
PARTITION (2,0)	96.4789	96.8421	94.4442	
PARTITION (2,1)	95.7895	97.8873	93.1673	
PARTITION (3,0)	95.7747	97.8947	94.2952	
PARTITION (3,1)	95.4386	97.8873	93.5371	
PARTITION (4,0)	94.0141	97.5439	95.2892	
PARTITION (4,1)	94.3860	97.5352	93.7442	
MEAN			95.3959	97.7859	93.9691	
STDEV			0.9852	0.3853	0.6381	
