				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	79.1304	92.6087	104.6400	
PARTITION (0,1)	83.4783	85.6522	104.8058	
PARTITION (1,0)	82.1739	88.2609	104.6912	
PARTITION (1,1)	80.8696	90.0000	104.4486	
PARTITION (2,0)	83.4783	88.6957	104.6014	
PARTITION (2,1)	83.0435	91.7391	105.0166	
PARTITION (3,0)	84.7826	87.3913	104.3358	
PARTITION (3,1)	83.9130	93.0435	104.9700	
PARTITION (4,0)	85.2174	93.0435	104.4586	
PARTITION (4,1)	85.2174	90.4348	104.4094	
MEAN			83.1304	90.0870	104.6377	
STDEV			1.8530	2.4269	0.2232	
