				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	95.4225	97.5439	93.3869	
PARTITION (0,1)	94.3860	98.5916	93.0077	
PARTITION (1,0)	96.8310	97.1930	93.1231	
PARTITION (1,1)	93.3333	97.5352	92.7711	
PARTITION (2,0)	96.4789	96.8421	93.8742	
PARTITION (2,1)	95.0877	97.1831	92.3623	
PARTITION (3,0)	94.7183	97.5439	93.3571	
PARTITION (3,1)	95.4386	96.8310	92.5823	
PARTITION (4,0)	95.4225	96.8421	93.4713	
PARTITION (4,1)	94.7368	96.8310	92.9291	
MEAN			95.1856	97.2937	93.0865	
STDEV			0.9515	0.5220	0.4296	
