				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	76.5217	83.9130	0.0000	
PARTITION (0,1)	86.5217	78.6957	0.0000	
PARTITION (1,0)	81.7391	78.2609	0.0000	
PARTITION (1,1)	80.0000	85.6522	0.0000	
PARTITION (2,0)	83.0435	85.2174	0.0000	
PARTITION (2,1)	80.0000	82.6087	0.0000	
PARTITION (3,0)	83.4783	82.1739	0.0000	
PARTITION (3,1)	81.3043	87.8261	0.0000	
PARTITION (4,0)	83.9130	80.4348	0.0000	
PARTITION (4,1)	86.0870	80.4348	0.0000	
MEAN			82.2609	82.5217	0.0000	
STDEV			2.8628	2.9793	0.0000	
