				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	95.4225	97.8947	94.9294	
PARTITION (0,1)	96.1404	97.8873	94.7588	
PARTITION (1,0)	95.0704	97.8947	95.2276	
PARTITION (1,1)	94.0351	97.8873	94.4826	
PARTITION (2,0)	95.7747	96.4912	95.6631	
PARTITION (2,1)	95.0877	97.5352	94.6016	
PARTITION (3,0)	95.0704	96.8421	94.7380	
PARTITION (3,1)	95.4386	96.8310	94.7894	
PARTITION (4,0)	95.0704	96.4912	95.0014	
PARTITION (4,1)	93.6842	97.8873	94.7292	
MEAN			95.0794	97.3642	94.8921	
STDEV			0.6995	0.5913	0.3263	
