				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	94.7183	97.8947	94.4914	
PARTITION (0,1)	96.1404	98.2394	92.6849	
PARTITION (1,0)	96.1268	97.8947	93.2895	
PARTITION (1,1)	92.6316	97.8873	92.9141	
PARTITION (2,0)	96.8310	97.1930	93.6444	
PARTITION (2,1)	95.4386	97.8873	92.6921	
PARTITION (3,0)	94.7183	97.1930	93.3911	
PARTITION (3,1)	96.4912	97.5352	92.9913	
PARTITION (4,0)	94.3662	97.8947	93.6851	
PARTITION (4,1)	94.3860	97.8873	93.1927	
MEAN			95.1848	97.7507	93.2977	
STDEV			1.2059	0.3202	0.5192	
