				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	81.7308	94.2308	22.8173	
PARTITION (0,1)	85.5769	87.5000	22.8235	
PARTITION (1,0)	80.7692	94.2308	22.4301	
PARTITION (1,1)	85.5769	89.4231	22.8043	
PARTITION (2,0)	77.8846	89.4231	22.6593	
PARTITION (2,1)	83.6538	86.5385	22.5291	
PARTITION (3,0)	82.6923	91.3462	22.7623	
PARTITION (3,1)	77.8846	93.2692	22.7333	
PARTITION (4,0)	85.5769	89.4231	22.6103	
PARTITION (4,1)	80.7692	92.3077	22.7387	
MEAN			82.2115	90.7692	22.6908	
STDEV			2.7952	2.5872	0.1252	
