				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	84.3478	89.1304	104.3608	
PARTITION (0,1)	79.5652	91.7391	104.8598	
PARTITION (1,0)	83.4783	92.1739	104.3770	
PARTITION (1,1)	81.3043	91.3043	104.7638	
PARTITION (2,0)	89.5652	91.7391	104.7450	
PARTITION (2,1)	79.1304	90.8696	104.4386	
PARTITION (3,0)	78.2609	94.7826	104.8590	
PARTITION (3,1)	82.6087	90.4348	104.3848	
PARTITION (4,0)	86.0870	93.9130	104.6900	
PARTITION (4,1)	82.6087	91.3043	104.7402	
MEAN			82.6957	91.7391	104.6219	
STDEV			3.2583	1.5436	0.1976	
