				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	84.7826	88.2609	103.9445	
PARTITION (0,1)	80.8696	90.4348	104.9952	
PARTITION (1,0)	81.7391	91.7391	104.6886	
PARTITION (1,1)	84.3478	90.4348	104.7598	
PARTITION (2,0)	85.6522	87.3913	104.1511	
PARTITION (2,1)	81.3043	91.7391	104.6148	
PARTITION (3,0)	84.7826	93.9130	104.4660	
PARTITION (3,1)	87.3913	89.5652	104.9316	
PARTITION (4,0)	84.3478	89.1304	104.6610	
PARTITION (4,1)	82.6087	91.7391	104.3702	
MEAN			83.7826	90.4348	104.5583	
STDEV			1.9835	1.8343	0.3156	
