				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	83.6538	89.4231	23.1223	
PARTITION (0,1)	77.8846	90.3846	23.0795	
PARTITION (1,0)	83.6538	92.3077	23.0051	
PARTITION (1,1)	86.5385	89.4231	22.9665	
PARTITION (2,0)	82.6923	92.3077	22.9309	
PARTITION (2,1)	83.6538	89.4231	22.9963	
PARTITION (3,0)	79.8077	92.3077	22.9625	
PARTITION (3,1)	86.5385	92.3077	22.9301	
PARTITION (4,0)	79.8077	89.4231	23.0203	
PARTITION (4,1)	81.7308	90.3846	23.1805	
MEAN			82.5962	90.7692	23.0194	
STDEV			2.7009	1.3043	0.0793	
