				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	94.0141	97.8947	93.0507	
PARTITION (0,1)	95.7895	97.1831	93.4327	
PARTITION (1,0)	95.4225	97.8947	93.7119	
PARTITION (1,1)	95.4386	98.2394	92.7748	
PARTITION (2,0)	96.4789	97.1930	93.7515	
PARTITION (2,1)	94.7368	98.9437	92.8484	
PARTITION (3,0)	96.8310	97.5439	93.5019	
PARTITION (3,1)	95.0877	97.8873	93.1917	
PARTITION (4,0)	95.0704	98.2456	94.4992	
PARTITION (4,1)	95.0877	97.1831	94.1242	
MEAN			95.3957	97.8209	93.4887	
STDEV			0.7762	0.5395	0.5238	
