SEED-360257   sonar    sonar    sonar    wdbc     wdbc     wdbc     spambase-460  spambase-460  spambase-460
ALGORITHMS    FITNESS  TRAIN    TIME     FITNESS  TRAIN    TIME     FITNESS       TRAIN         TIME
1NN           81.4423  81.4423  0.0021   95.2198  95.2198  0.0066   82.7391       82.7391       0.0070
RANDOM        82.1154  83.3654  0.0000   95.1847  94.7277  0.0000   83.0870       82.7391       0.0000
RELIEF        82.5962  84.3269  0.0028   94.9737  94.5872  0.0125   85.0435       87.1739       0.0130
RELIEF+LS     81.3462  89.9038  2.7908   95.2202  97.0474  5.7153   84.2174       93.8696       16.1644
RANDOM+LS     81.4423  87.1154  2.1658   94.8683  96.5555  5.8053   83.2609       90.8261       13.8864
AGG-BLX       81.9231  91.2500  22.6644  95.1837  97.6449  93.1668  82.2609       92.4348       104.5351
AGG-CA        81.5385  88.7500  22.6835  94.7979  97.3631  93.1429  82.6957       91.7391       104.6219
AGE-BLX       82.2115  90.7692  22.6908  95.3957  97.8209  93.4887  82.7826       92.5217       105.5825
AGE-CA        81.2500  88.1731  22.5833  95.5710  97.3987  93.1115  83.7826       90.4348       104.5583
AM-10-1.0     82.8846  89.7115  23.3002  95.2186  97.6452  98.3232  83.5217       92.6957       111.3544
AM-10-0.1     81.1538  89.5192  22.8751  95.1837  97.5393  93.9010  83.5217       92.4348       105.1056
AM-10-0.1mej  82.3077  88.8462  22.9852  95.0787  97.6097  95.5132  83.8696       92.8696       105.8589
