				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	77.8846	93.2692	22.7131	
PARTITION (0,1)	87.5000	85.5769	22.5463	
PARTITION (1,0)	79.8077	91.3462	22.5583	
PARTITION (1,1)	84.6154	84.6154	22.7423	
PARTITION (2,0)	75.9615	89.4231	22.6773	
PARTITION (2,1)	84.6154	82.6923	22.7033	
PARTITION (3,0)	84.6154	84.6154	22.5633	
PARTITION (3,1)	76.9231	92.3077	22.4301	
PARTITION (4,0)	84.6154	87.5000	22.4525	
PARTITION (4,1)	75.9615	90.3846	22.4463	
MEAN			81.2500	88.1731	22.5833	
STDEV			4.1525	3.4946	0.1127	
