				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	85.6522	94.3478	18.1698	
PARTITION (0,1)	83.9130	93.4783	14.2772	
PARTITION (1,0)	83.4783	93.9130	17.0360	
PARTITION (1,1)	83.4783	93.4783	24.5300	
PARTITION (2,0)	84.3478	93.9130	15.4033	
PARTITION (2,1)	83.9130	93.4783	16.5849	
PARTITION (3,0)	81.3043	95.6522	11.8917	
PARTITION (3,1)	86.5217	90.0000	16.9540	
PARTITION (4,0)	83.9130	95.2174	14.2048	
PARTITION (4,1)	85.6522	95.2174	12.5927	
MEAN			84.2174	93.8696	16.1644	
STDEV			1.3891	1.4990	3.3847	
