				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	77.3913	93.9130	104.6044	
PARTITION (0,1)	89.5652	90.0000	105.2532	
PARTITION (1,0)	82.6087	88.6957	104.7472	
PARTITION (1,1)	82.6087	90.4348	104.5278	
PARTITION (2,0)	83.4783	91.3043	104.6514	
PARTITION (2,1)	82.1739	93.0435	104.9246	
PARTITION (3,0)	83.4783	89.5652	104.4702	
PARTITION (3,1)	82.6087	95.2174	104.6470	
PARTITION (4,0)	83.9130	94.7826	104.5582	
PARTITION (4,1)	88.2609	92.1739	104.5266	
MEAN			83.6087	91.9130	104.6910	
STDEV			3.1775	2.1585	0.2232	
