				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	92.6056	97.5439	94.0794	
PARTITION (0,1)	97.1930	97.1831	93.5591	
PARTITION (1,0)	94.3662	97.8947	94.5190	
PARTITION (1,1)	95.0877	97.5352	93.7167	
PARTITION (2,0)	96.4789	96.8421	94.1679	
PARTITION (2,1)	94.7368	98.2394	93.6593	
PARTITION (3,0)	95.0704	97.8947	93.9594	
PARTITION (3,1)	95.0877	97.5352	93.4771	
PARTITION (4,0)	95.0704	98.2456	94.0446	
PARTITION (4,1)	96.1404	96.4789	93.8272	
MEAN			95.1837	97.5393	93.9010	
STDEV			1.1912	0.5458	0.3014	
