				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	81.3043	93.0435	104.4970	
PARTITION (0,1)	84.3478	89.1304	104.6236	
PARTITION (1,0)	81.3043	92.6087	104.4432	
PARTITION (1,1)	79.5652	89.1304	104.3098	
PARTITION (2,0)	83.9130	90.4348	104.4918	
PARTITION (2,1)	83.4783	91.7391	104.8444	
PARTITION (3,0)	86.9565	90.4348	104.8334	
PARTITION (3,1)	83.4783	94.7826	104.2718	
PARTITION (4,0)	84.3478	94.3478	104.5930	
PARTITION (4,1)	90.0000	92.6087	104.6770	
MEAN			83.8696	91.8261	104.5585	
STDEV			2.8208	1.9029	0.1849	
