				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	85.2174	90.8696	20.6132	
PARTITION (0,1)	76.9565	89.1304	11.4536	
PARTITION (1,0)	82.6087	92.1739	23.3709	
PARTITION (1,1)	82.1739	87.8261	10.7286	
PARTITION (2,0)	85.6522	88.6957	12.3077	
PARTITION (2,1)	82.6087	90.4348	11.0786	
PARTITION (3,0)	81.7391	94.7826	14.6132	
PARTITION (3,1)	86.9565	88.6957	10.7042	
PARTITION (4,0)	82.6087	90.8696	12.9929	
PARTITION (4,1)	86.0870	94.7826	11.0004	
MEAN			83.2609	90.8261	13.8864	
STDEV			2.7516	2.3289	4.2574	
