				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	78.2609	90.8696	12.0397	
PARTITION (0,1)	86.0870	86.9565	20.7382	
PARTITION (1,0)	80.0000	89.1304	14.8038	
PARTITION (1,1)	80.0000	92.1739	15.2055	
PARTITION (2,0)	80.8696	92.1739	16.7520	
PARTITION (2,1)	79.5652	89.1304	10.3246	
PARTITION (3,0)	83.9130	89.5652	11.8579	
PARTITION (3,1)	83.4783	93.0435	11.1676	
PARTITION (4,0)	83.4783	93.4783	20.5990	
PARTITION (4,1)	87.3913	90.0000	11.4397	
MEAN			82.3043	90.6522	14.4928	
STDEV			2.8648	1.9563	3.6430	
