				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	85.6522	90.0000	104.8248	
PARTITION (0,1)	83.0435	93.0435	104.8708	
PARTITION (1,0)	80.8696	91.7391	105.4018	
PARTITION (1,1)	82.1739	93.9130	104.7000	
PARTITION (2,0)	85.6522	91.3043	105.0148	
PARTITION (2,1)	82.1739	92.6087	104.8750	
PARTITION (3,0)	80.8696	93.0435	105.5658	
PARTITION (3,1)	85.6522	92.1739	105.1602	
PARTITION (4,0)	84.3478	92.6087	105.2868	
PARTITION (4,1)	84.7826	93.9130	105.3556	
MEAN			83.5217	92.4348	105.1056	
STDEV			1.8388	1.1371	0.2795	
