				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	95.4225	97.8947	94.3250	
PARTITION (0,1)	96.4912	98.2394	93.2353	
PARTITION (1,0)	97.1831	97.8947	94.3994	
PARTITION (1,1)	93.3333	97.8873	93.3073	
PARTITION (2,0)	96.1268	96.4912	94.1770	
PARTITION (2,1)	94.7368	97.8873	93.4763	
PARTITION (3,0)	95.7747	96.8421	94.1496	
PARTITION (3,1)	96.1404	97.1831	93.4449	
PARTITION (4,0)	94.7183	97.1930	94.0994	
PARTITION (4,1)	94.7368	97.5352	93.6613	
MEAN			95.4664	97.5048	93.8276	
STDEV			1.0565	0.5312	0.4227	
