SEED-360271   sonar    sonar    sonar    wdbc     wdbc     wdbc     spambase-460  spambase-460  spambase-460
ALGORITHMS    FITNESS  TRAIN    TIME     FITNESS  TRAIN    TIME     FITNESS       TRAIN         TIME
1NN           81.7308  81.7308  0.0016   95.4661  95.4661  0.0064   82.6087       82.6087       0.0070
RANDOM        83.5577  81.6346  0.0000   94.9386  94.7633  0.0000   82.2609       82.5217       0.0000
RELIEF        82.5000  86.2500  0.0027   95.7828  95.4307  0.0118   85.0000       86.3043       0.0130
RELIEF+LS     82.4038  91.5385  2.5469   95.5363  97.3284  4.7917   84.0870       92.6522       13.6710
RANDOM+LS     83.7500  87.0192  2.5721   95.1499  97.0125  6.5407   82.3043       90.6522       14.4928
AGG-BLX       82.3077  91.4423  23.1933  95.1848  97.7507  93.2977  83.6087       91.9130       104.6910
AGG-CA        81.9231  89.7115  22.7345  95.1501  97.1882  93.1596  83.8696       91.8261       104.5585
AGE-BLX       82.4038  90.9615  22.8480  95.3959  97.7859  93.9691  83.5217       92.0435       105.7435
AGE-CA        82.0192  88.9423  22.6667  95.1856  97.2937  93.0865  83.1304       90.0870       104.6377
AM-10-1.0     82.5962  90.8654  23.3337  94.9040  97.9261  98.5069  83.6087       92.0435       111.3539
AM-10-0.1     82.3077  90.9615  22.8911  95.4664  97.5048  93.8276  82.2609       91.8696       104.9918
AM-10-0.1mej  82.5962  90.7692  23.0194  95.0794  97.3642  94.8921  82.6522       91.7826       105.1765
