				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	93.3099	97.5439	93.5961	
PARTITION (0,1)	95.0877	95.4225	92.4833	
PARTITION (1,0)	94.7183	97.8947	93.4253	
PARTITION (1,1)	94.0351	97.8873	93.1509	
PARTITION (2,0)	96.4789	97.1930	93.3873	
PARTITION (2,1)	93.3333	98.2394	92.8273	
PARTITION (3,0)	95.0704	98.2456	93.3983	
PARTITION (3,1)	95.4386	97.5352	92.2249	
PARTITION (4,0)	94.3662	97.8947	93.8836	
PARTITION (4,1)	96.1404	95.7747	93.0523	
MEAN			94.7979	97.3631	93.1429	
STDEV			1.0165	0.9354	0.4851	
