				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	78.8462	84.6154	0.0030	
PARTITION (0,1)	84.6154	78.8462	0.0030	
PARTITION (1,0)	78.8462	82.6923	0.0010	
PARTITION (1,1)	82.6923	78.8462	0.0020	
PARTITION (2,0)	76.9231	84.6154	0.0030	
PARTITION (2,1)	84.6154	76.9231	0.0020	
PARTITION (3,0)	85.5769	78.8462	0.0010	
PARTITION (3,1)	78.8462	85.5769	0.0020	
PARTITION (4,0)	85.5769	77.8846	0.0020	
PARTITION (4,1)	77.8846	85.5769	0.0020	
MEAN			81.4423	81.4423	0.0021	
STDEV			3.3045	3.3045	0.0007	
