				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	78.2609	94.3478	106.4181	
PARTITION (0,1)	85.2174	87.3913	105.3646	
PARTITION (1,0)	82.1739	92.1739	104.9540	
PARTITION (1,1)	77.8261	91.3043	105.2312	
PARTITION (2,0)	82.1739	91.3043	105.0724	
PARTITION (2,1)	81.3043	92.1739	104.9304	
PARTITION (3,0)	87.8261	90.4348	104.8898	
PARTITION (3,1)	81.3043	93.0435	104.9484	
PARTITION (4,0)	85.6522	93.4783	104.7944	
PARTITION (4,1)	84.7826	92.1739	105.1620	
MEAN			82.6522	91.7826	105.1765	
STDEV			3.0586	1.8184	0.4430	
