				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	92.2535	97.5439	98.7806	
PARTITION (0,1)	96.4912	97.5352	98.0054	
PARTITION (1,0)	94.3662	96.8421	98.7724	
PARTITION (1,1)	95.0877	98.2394	98.0850	
PARTITION (2,0)	96.4789	97.1930	98.0144	
PARTITION (2,1)	94.3860	98.2394	98.4256	
PARTITION (3,0)	95.4225	97.8947	98.6766	
PARTITION (3,1)	96.4912	97.5352	97.3089	
PARTITION (4,0)	94.3662	98.2456	98.7896	
PARTITION (4,1)	96.8421	97.1831	98.3736	
MEAN			95.2186	97.6452	98.3232	
STDEV			1.3593	0.4729	0.4529	
