				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	92.6056	98.2456	93.3247	
PARTITION (0,1)	96.4912	96.1268	92.7431	
PARTITION (1,0)	95.4225	97.5439	93.8830	
PARTITION (1,1)	95.4386	98.5916	92.8463	
PARTITION (2,0)	95.7747	96.8421	93.4573	
PARTITION (2,1)	94.0351	97.8873	93.2823	
PARTITION (3,0)	94.3662	97.8947	93.3311	
PARTITION (3,1)	96.1404	97.8873	92.7543	
PARTITION (4,0)	95.4225	97.8947	93.5311	
PARTITION (4,1)	96.1404	97.5352	92.5151	
MEAN			95.1837	97.6449	93.1668	
STDEV			1.1272	0.6695	0.4098	
