				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	95.4225	98.2456	94.6086	
PARTITION (0,1)	94.3860	98.5916	93.7702	
PARTITION (1,0)	94.0141	97.5439	94.2534	
PARTITION (1,1)	96.4912	96.8310	93.4277	
PARTITION (2,0)	94.3662	98.5965	94.2694	
PARTITION (2,1)	96.1404	97.5352	93.4481	
PARTITION (3,0)	96.8310	96.8421	93.5735	
PARTITION (3,1)	95.0877	99.2958	93.4487	
PARTITION (4,0)	95.0704	97.1930	94.1704	
PARTITION (4,1)	95.0877	98.2394	93.7824	
MEAN			95.2897	97.8914	93.8752	
STDEV			0.8938	0.7850	0.4014	
