				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	87.5000	89.4231	23.2923	
PARTITION (0,1)	75.0000	95.1923	23.0805	
PARTITION (1,0)	83.6538	91.3462	23.2709	
PARTITION (1,1)	79.8077	94.2308	23.1403	
PARTITION (2,0)	85.5769	91.3462	23.2987	
PARTITION (2,1)	82.6923	94.2308	23.3073	
PARTITION (3,0)	85.5769	92.3077	23.2029	
PARTITION (3,1)	77.8846	94.2308	23.0085	
PARTITION (4,0)	85.5769	90.3846	23.3849	
PARTITION (4,1)	83.6538	94.2308	23.0631	
MEAN			82.6923	92.6923	23.2050	
STDEV			3.7488	1.8844	0.1190	
