				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	76.9231	95.1923	23.3477	
PARTITION (0,1)	86.5385	89.4231	23.1843	
PARTITION (1,0)	82.6923	91.3462	23.2619	
PARTITION (1,1)	81.7308	95.1923	23.3283	
PARTITION (2,0)	76.9231	91.3462	23.1199	
PARTITION (2,1)	88.4615	93.2692	23.2095	
PARTITION (3,0)	78.8462	94.2308	23.1915	
PARTITION (3,1)	86.5385	91.3462	23.1143	
PARTITION (4,0)	76.9231	95.1923	23.2589	
PARTITION (4,1)	85.5769	89.4231	22.9923	
MEAN			82.1154	92.5962	23.2009	
STDEV			4.2828	2.1949	0.1013	
