				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	86.9565	85.6522	105.3584	
PARTITION (0,1)	78.6957	91.7391	104.8810	
PARTITION (1,0)	90.0000	89.1304	105.0884	
PARTITION (1,1)	81.3043	93.9130	105.7358	
PARTITION (2,0)	87.3913	90.0000	105.5438	
PARTITION (2,1)	83.0435	92.1739	104.8888	
PARTITION (3,0)	85.2174	90.0000	105.6190	
PARTITION (3,1)	82.6087	91.7391	104.6382	
PARTITION (4,0)	83.9130	92.6087	104.8484	
PARTITION (4,1)	84.7826	90.8696	104.7228	
MEAN			84.3913	90.7826	105.1325	
STDEV			3.0834	2.1723	0.3789	
