				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	85.6522	87.8261	14.3102	
PARTITION (0,1)	77.8261	93.0435	15.9491	
PARTITION (1,0)	86.9565	89.1304	13.9980	
PARTITION (1,1)	76.9565	95.6522	16.1861	
PARTITION (2,0)	84.7826	94.7826	18.9851	
PARTITION (2,1)	83.9130	91.3043	11.8977	
PARTITION (3,0)	81.3043	88.2609	10.0192	
PARTITION (3,1)	79.5652	89.1304	13.5348	
PARTITION (4,0)	82.1739	91.7391	23.2233	
PARTITION (4,1)	85.2174	88.2609	10.4232	
MEAN			82.4348	90.9130	14.8527	
STDEV			3.2721	2.6977	3.8026	
