				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	77.8846	90.3846	22.8563	
PARTITION (0,1)	83.6538	88.4615	22.9399	
PARTITION (1,0)	85.5769	87.5000	22.7733	
PARTITION (1,1)	76.9231	89.4231	22.9815	
PARTITION (2,0)	78.8462	87.5000	22.8119	
PARTITION (2,1)	82.6923	87.5000	22.8635	
PARTITION (3,0)	82.6923	92.3077	22.8483	
PARTITION (3,1)	86.5385	89.4231	22.6907	
PARTITION (4,0)	80.7692	92.3077	22.7989	
PARTITION (4,1)	81.7308	84.6154	22.7985	
MEAN			81.7308	88.9423	22.8363	
STDEV			3.0102	2.2449	0.0785	
