				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	88.4615	91.3462	23.6522	
PARTITION (0,1)	77.8846	96.1538	23.6389	
PARTITION (1,0)	84.6154	93.2692	23.7694	
PARTITION (1,1)	80.7692	93.2692	23.7056	
PARTITION (2,0)	86.5385	91.3462	23.8590	
PARTITION (2,1)	86.5385	93.2692	24.3944	
PARTITION (3,0)	84.6154	91.3462	23.3209	
PARTITION (3,1)	83.6538	93.2692	23.2565	
PARTITION (4,0)	83.6538	89.4231	23.2953	
PARTITION (4,1)	79.8077	94.2308	23.1497	
MEAN			83.6538	92.6923	23.6042	
STDEV			3.1305	1.7837	0.3512	
