				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	81.7391	93.4783	105.5870	
PARTITION (0,1)	89.1304	89.1304	105.5240	
PARTITION (1,0)	83.9130	89.1304	105.6956	
PARTITION (1,1)	85.6522	88.2609	105.6578	
PARTITION (2,0)	86.0870	87.3913	105.4336	
PARTITION (2,1)	76.0870	91.7391	105.7988	
PARTITION (3,0)	81.7391	90.0000	105.4804	
PARTITION (3,1)	85.2174	88.6957	105.6640	
PARTITION (4,0)	84.3478	89.1304	105.2854	
PARTITION (4,1)	83.0435	92.6087	105.9201	
MEAN			83.6957	89.9565	105.6047	
STDEV			3.2839	1.8899	0.1740	
