				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	89.4231	89.4231	22.8037	
PARTITION (0,1)	75.9615	92.3077	22.8465	
PARTITION (1,0)	80.7692	85.5769	22.8049	
PARTITION (1,1)	84.6154	90.3846	22.7803	
PARTITION (2,0)	83.6538	87.5000	22.8823	
PARTITION (2,1)	83.6538	89.4231	22.8457	
PARTITION (3,0)	84.6154	88.4615	22.6989	
PARTITION (3,1)	80.7692	90.3846	22.7585	
PARTITION (4,0)	84.6154	90.3846	22.8053	
PARTITION (4,1)	78.8462	92.3077	22.8823	
MEAN			82.6923	89.6154	22.8108	
STDEV			3.5461	1.9610	0.0536	
