				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	88.4615	88.4615	22.9057	
PARTITION (0,1)	85.5769	95.1923	22.9137	
PARTITION (1,0)	79.8077	87.5000	22.9765	
PARTITION (1,1)	81.7308	90.3846	22.8939	
PARTITION (2,0)	85.5769	91.3462	22.9003	
PARTITION (2,1)	82.6923	90.3846	23.1545	
PARTITION (3,0)	82.6923	90.3846	22.9303	
PARTITION (3,1)	86.5385	91.3462	22.9641	
PARTITION (4,0)	88.4615	87.5000	23.0645	
PARTITION (4,1)	82.6923	93.2692	22.8715	
MEAN			84.4231	90.5769	22.9575	
STDEV			2.7801	2.3079	0.0838	
