				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	81.7391	93.4783	105.6364	
PARTITION (0,1)	89.1304	89.1304	104.5478	
PARTITION (1,0)	81.7391	93.4783	105.2952	
PARTITION (1,1)	86.0870	89.5652	105.1510	
PARTITION (2,0)	84.7826	90.0000	105.3208	
PARTITION (2,1)	78.6957	91.7391	105.4388	
PARTITION (3,0)	83.9130	91.7391	105.7584	
PARTITION (3,1)	80.0000	88.6957	104.8382	
PARTITION (4,0)	83.9130	88.6957	105.4720	
PARTITION (4,1)	81.3043	93.0435	105.3444	
MEAN			83.1304	90.9565	105.2803	
STDEV			2.9218	1.8627	0.3409	
