SEED-359509   sonar    sonar    sonar    wdbc     wdbc     wdbc     spambase-460  spambase-460  spambase-460
ALGORITHMS    FITNESS  TRAIN    TIME     FITNESS  TRAIN    TIME     FITNESS       TRAIN         TIME
1NN           82.6923  82.6923  0.0016   94.9039  94.9039  0.0062   83.7826       83.7826       0.0071
RANDOM        82.5962  82.9808  0.0000   94.5168  95.1155  0.0000   83.7391       82.6522       0.0000
RELIEF        82.8846  83.0769  0.0030   94.9387  94.8682  0.0121   83.0000       83.8696       0.0135
RELIEF+LS     83.1731  86.1538  2.8022   95.0794  96.5555  5.3226   82.4348       90.9130       14.8527
RANDOM+LS     81.8269  87.4038  2.5044   94.6228  96.3103  5.3625   82.3913       89.7826       14.6815
AGG-BLX       82.6923  92.2115  22.9897  95.2897  97.8914  93.8752  83.4783       91.0435       113.1448
AGG-CA        82.5000  89.0385  22.8846  94.7984  97.2231  96.5392  84.3913       90.7826       105.1325
AGE-BLX       82.0192  91.6346  22.8768  94.7286  97.8561  93.7315  83.4348       90.2609       105.4030
AGE-CA        81.7308  88.9423  22.8363  95.0439  97.0476  93.8035  83.0870       90.7826       105.4243
AM-10-1.0     81.6346  92.7885  23.5661  94.3763  97.6801  98.7370  84.6087       92.9565       111.9351
AM-10-0.1     81.7308  87.2115  23.0842  94.4470  96.3794  94.5836  83.4348       88.6957       105.8647
AM-10-0.1mej  82.1154  92.5962  23.2009  94.9038  97.8563  95.4044  84.1739       92.9565       105.3921
