				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	92.9577	98.9474	99.3697	
PARTITION (0,1)	96.1404	96.8310	98.4914	
PARTITION (1,0)	94.7183	97.5439	99.4899	
PARTITION (1,1)	95.7895	97.5352	99.0250	
PARTITION (2,0)	94.3662	99.2982	98.8924	
PARTITION (2,1)	95.7895	96.4789	98.5658	
PARTITION (3,0)	95.0704	98.2456	99.5851	
PARTITION (3,1)	95.4386	97.5352	98.5978	
PARTITION (4,0)	95.7747	98.5965	99.2295	
PARTITION (4,1)	95.7895	97.8873	98.3160	
MEAN			95.1835	97.8899	98.9563	
STDEV			0.9095	0.8495	0.4296	
