				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	86.0870	86.5217	112.3042	
PARTITION (0,1)	77.3913	93.9130	112.4478	
PARTITION (1,0)	86.9565	88.6957	111.3068	
PARTITION (1,1)	83.9130	95.2174	112.7754	
PARTITION (2,0)	87.3913	90.0000	114.2019	
PARTITION (2,1)	81.7391	92.1739	113.5947	
PARTITION (3,0)	81.7391	90.4348	113.8163	
PARTITION (3,1)	82.1739	91.3043	112.7694	
PARTITION (4,0)	84.7826	92.6087	114.5569	
PARTITION (4,1)	82.6087	89.5652	113.6749	
MEAN			83.4783	91.0435	113.1448	
STDEV			2.8579	2.4303	0.9427	
