				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	85.2174	94.7826	111.9702	
PARTITION (0,1)	86.0870	91.7391	112.0840	
PARTITION (1,0)	85.6522	96.5217	111.9094	
PARTITION (1,1)	85.2174	91.3043	112.1510	
PARTITION (2,0)	80.0000	92.1739	111.4782	
PARTITION (2,1)	83.0435	94.3478	111.7624	
PARTITION (3,0)	82.6087	92.1739	112.2284	
PARTITION (3,1)	86.9565	90.4348	112.2856	
PARTITION (4,0)	86.0870	89.5652	112.1016	
PARTITION (4,1)	79.5652	94.3478	112.4584	
MEAN			84.0435	92.7391	112.0429	
STDEV			2.4829	2.0675	0.2688	
