				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	84.7826	83.0435	105.3150	
PARTITION (0,1)	76.5217	91.7391	105.1206	
PARTITION (1,0)	86.9565	90.0000	104.9890	
PARTITION (1,1)	81.7391	96.0870	105.5330	
PARTITION (2,0)	88.2609	91.7391	105.3464	
PARTITION (2,1)	81.3043	92.6087	105.4340	
PARTITION (3,0)	82.6087	90.0000	105.3746	
PARTITION (3,1)	82.6087	90.4348	105.5946	
PARTITION (4,0)	82.6087	90.8696	105.7522	
PARTITION (4,1)	83.4783	91.3043	105.7836	
MEAN			83.0870	90.7826	105.4243	
STDEV			3.0586	3.0794	0.2441	
