				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	83.0435	94.3478	105.4694	
PARTITION (0,1)	90.4348	90.0000	104.5310	
PARTITION (1,0)	82.1739	93.4783	104.9566	
PARTITION (1,1)	86.9565	89.5652	105.5718	
PARTITION (2,0)	81.3043	88.6957	105.6024	
PARTITION (2,1)	81.3043	90.8696	105.6760	
PARTITION (3,0)	84.7826	92.6087	105.2122	
PARTITION (3,1)	80.8696	90.0000	105.6272	
PARTITION (4,0)	86.0870	87.3913	105.2590	
PARTITION (4,1)	77.3913	93.0435	105.2602	
MEAN			83.4348	91.0000	105.3166	
STDEV			3.5238	2.1569	0.3395	
