SEED-359539   sonar    sonar    sonar    wdbc     wdbc     wdbc     spambase-460  spambase-460  spambase-460
ALGORITHMS    FITNESS  TRAIN    TIME     FITNESS  TRAIN    TIME     FITNESS       TRAIN         TIME
1NN           82.8846  82.8846  0.0031   95.1835  95.1835  0.0062   82.6957       82.6957       0.0016
RANDOM        81.3462  81.9231  0.0000   95.0785  95.3239  0.0000   82.2609       82.6522       0.0000
RELIEF        83.3654  83.7500  0.0031   95.2538  95.0783  0.0125   81.6522       81.6957       0.0125
RELIEF+LS     82.9808  86.8269  2.9609   95.0430  96.5193  5.7938   81.7391       90.3478       18.7528
RANDOM+LS     82.0192  88.0769  2.8106   95.0432  96.9765  5.3262   82.2609       89.8696       14.5074
AGG-BLX       83.6538  92.6923  23.6042  94.9370  97.7142  94.4963  83.4348       91.0000       105.3166
AGG-CA        84.4231  90.5769  22.9575  95.2539  97.2928  93.9494  83.1304       90.9565       105.2803
AGE-BLX       82.8846  92.1154  22.8737  94.5151  97.7844  94.1451  82.6522       90.0435       105.5195
AGE-CA        82.6923  89.6154  22.8108  95.0080  97.1166  93.6166  83.6957       89.9565       105.6047
AM-10-1.0     82.5962  92.8846  23.5743  95.1835  97.8899  98.9563  84.0435       92.7391       112.0429
AM-10-0.1     82.6923  86.4423  23.1114  94.3401  95.8160  94.8239  83.3478       88.6522       107.1399
AM-10-0.1mej  82.6923  92.6923  23.2050  94.9370  97.9255  95.3621  82.3913       92.6957       106.0881
