				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	95.0704	96.8421	95.1514	
PARTITION (0,1)	93.3333	98.9437	94.4146	
PARTITION (1,0)	94.3662	95.7895	95.0486	
PARTITION (1,1)	95.0877	95.0704	94.2804	
PARTITION (2,0)	93.3099	98.5965	94.9182	
PARTITION (2,1)	94.7368	95.4225	94.3728	
PARTITION (3,0)	96.4789	95.4386	94.7630	
PARTITION (3,1)	93.3333	95.7747	94.4788	
PARTITION (4,0)	94.7183	95.7895	94.7222	
PARTITION (4,1)	94.0351	96.1268	93.6857	
MEAN			94.4470	96.3794	94.5836	
STDEV			0.9504	1.2786	0.4098	
