				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	87.8261	91.7391	105.7732	
PARTITION (0,1)	79.1304	95.2174	105.8464	
PARTITION (1,0)	88.6957	90.4348	106.2789	
PARTITION (1,1)	79.1304	93.4783	106.0123	
PARTITION (2,0)	85.2174	93.9130	105.2386	
PARTITION (2,1)	85.2174	95.6522	105.0008	
PARTITION (3,0)	84.7826	90.8696	104.6704	
PARTITION (3,1)	82.6087	94.7826	105.0954	
PARTITION (4,0)	79.1304	92.6087	105.2990	
PARTITION (4,1)	90.0000	90.8696	104.7060	
MEAN			84.1739	92.9565	105.3921	
STDEV			3.8605	1.8318	0.5294	
