				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	84.6154	89.4231	23.0585	
PARTITION (0,1)	78.8462	96.1538	22.7885	
PARTITION (1,0)	88.4615	90.3846	22.8155	
PARTITION (1,1)	80.7692	92.3077	22.8199	
PARTITION (2,0)	80.7692	91.3462	22.7763	
PARTITION (2,1)	80.7692	93.2692	22.8455	
PARTITION (3,0)	84.6154	91.3462	22.7011	
PARTITION (3,1)	83.6538	92.3077	22.9139	
PARTITION (4,0)	82.6923	90.3846	23.0429	
PARTITION (4,1)	83.6538	94.2308	22.9753	
MEAN			82.8846	92.1154	22.8737	
STDEV			2.6084	1.9134	0.1135	
