				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	93.3099	98.9474	94.8944	
PARTITION (0,1)	96.8421	96.4789	94.3448	
PARTITION (1,0)	94.7183	97.5439	95.3805	
PARTITION (1,1)	94.3860	97.1831	96.1335	
PARTITION (2,0)	94.0141	98.9474	96.8383	
PARTITION (2,1)	96.8421	96.4789	93.0327	
PARTITION (3,0)	94.0141	97.5439	93.7272	
PARTITION (3,1)	94.3860	97.5352	93.1967	
PARTITION (4,0)	94.3662	98.5965	94.1032	
PARTITION (4,1)	96.4912	97.8873	93.3121	
MEAN			94.9370	97.7142	94.4963	
STDEV			1.2251	0.8530	1.2291	
