				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	86.0870	86.5217	105.8438	
PARTITION (0,1)	77.8261	93.0435	105.8192	
PARTITION (1,0)	86.0870	87.3913	105.4942	
PARTITION (1,1)	80.4348	93.9130	105.2336	
PARTITION (2,0)	86.5217	89.5652	105.6166	
PARTITION (2,1)	87.8261	91.7391	105.2802	
PARTITION (3,0)	82.1739	88.6957	105.7786	
PARTITION (3,1)	83.9130	90.8696	105.3120	
PARTITION (4,0)	80.0000	91.7391	104.8090	
PARTITION (4,1)	83.4783	89.1304	104.8424	
MEAN			83.4348	90.2609	105.4030	
STDEV			3.1137	2.2856	0.3590	
