				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	77.8846	90.3846	22.9885	
PARTITION (0,1)	84.6154	86.5385	22.9379	
PARTITION (1,0)	80.7692	88.4615	22.8089	
PARTITION (1,1)	78.8462	89.4231	22.9381	
PARTITION (2,0)	80.7692	91.3462	22.8031	
PARTITION (2,1)	84.6154	85.5769	22.8789	
PARTITION (3,0)	82.6923	92.3077	22.9501	
PARTITION (3,1)	87.5000	89.4231	22.7489	
PARTITION (4,0)	78.8462	91.3462	22.9615	
PARTITION (4,1)	88.4615	85.5769	22.8305	
MEAN			82.5000	89.0385	22.8846	
STDEV			3.5146	2.3235	0.0777	
