				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	79.5652	92.6087	11.4883	
PARTITION (0,1)	88.6957	87.8261	11.5057	
PARTITION (1,0)	83.0435	89.1304	18.6811	
PARTITION (1,1)	82.6087	89.1304	14.1062	
PARTITION (2,0)	81.7391	87.8261	12.1517	
PARTITION (2,1)	78.2609	90.4348	15.1889	
PARTITION (3,0)	81.7391	92.6087	10.4178	
PARTITION (3,1)	81.7391	91.3043	15.8731	
PARTITION (4,0)	83.0435	86.5217	20.8534	
PARTITION (4,1)	82.1739	91.3043	14.8084	
MEAN			82.2609	89.8696	14.5074	
STDEV			2.5854	2.0024	3.1729	
