				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	79.8077	91.3462	22.9923	
PARTITION (0,1)	76.9231	83.6538	23.1451	
PARTITION (1,0)	79.8077	83.6538	23.2269	
PARTITION (1,1)	84.6154	87.5000	23.2331	
PARTITION (2,0)	77.8846	89.4231	22.9275	
PARTITION (2,1)	81.7308	84.6154	22.9715	
PARTITION (3,0)	84.6154	88.4615	22.8285	
PARTITION (3,1)	87.5000	92.3077	23.0345	
PARTITION (4,0)	78.8462	89.4231	23.2639	
PARTITION (4,1)	85.5769	81.7308	23.2183	
MEAN			81.7308	87.2115	23.0842	
STDEV			3.4402	3.4144	0.1451	
