				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	94.0141	98.5965	94.6584	
PARTITION (0,1)	97.5439	96.1268	93.9872	
PARTITION (1,0)	95.0704	96.8421	94.9874	
PARTITION (1,1)	95.4386	96.8310	93.9802	
PARTITION (2,0)	94.3662	97.8947	94.1058	
PARTITION (2,1)	94.0351	96.4789	93.5125	
PARTITION (3,0)	95.0704	96.8421	94.1652	
PARTITION (3,1)	95.4386	97.1831	93.3765	
PARTITION (4,0)	95.0704	98.2456	93.7501	
PARTITION (4,1)	96.4912	97.8873	92.9705	
MEAN			95.2539	97.2928	93.9494	
STDEV			1.0374	0.7731	0.5616	
