				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	83.6538	93.2692	22.9629	
PARTITION (0,1)	85.5769	90.3846	22.7765	
PARTITION (1,0)	82.6923	90.3846	22.9287	
PARTITION (1,1)	80.7692	91.3462	22.8173	
PARTITION (2,0)	80.7692	91.3462	22.8239	
PARTITION (2,1)	82.6923	89.4231	22.8443	
PARTITION (3,0)	77.8846	95.1923	22.7479	
PARTITION (3,1)	80.7692	90.3846	22.9583	
PARTITION (4,0)	78.8462	94.2308	23.0855	
PARTITION (4,1)	86.5385	90.3846	22.8229	
MEAN			82.0192	91.6346	22.8768	
STDEV			2.6174	1.8270	0.0982	
