				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	88.4615	91.3462	23.7360	
PARTITION (0,1)	75.9615	96.1538	23.5985	
PARTITION (1,0)	81.7308	91.3462	23.5883	
PARTITION (1,1)	79.8077	93.2692	23.5247	
PARTITION (2,0)	83.6538	91.3462	23.6696	
PARTITION (2,1)	86.5385	94.2308	23.6357	
PARTITION (3,0)	82.6923	93.2692	23.4807	
PARTITION (3,1)	83.6538	92.3077	23.6024	
PARTITION (4,0)	85.5769	91.3462	23.4677	
PARTITION (4,1)	77.8846	94.2308	23.4397	
MEAN			82.5962	92.8846	23.5743	
STDEV			3.6853	1.5625	0.0904	
