				FITNESS	TRAIN FIT	TIME	
PARTITION (0,0)	96.4789	97.8947	94.5906	
PARTITION (0,1)	95.4386	97.8873	93.2333	
PARTITION (1,0)	93.6620	96.4912	94.2602	
PARTITION (1,1)	95.7895	95.7747	93.9086	
PARTITION (2,0)	94.0141	96.8421	94.2964	
PARTITION (2,1)	94.0351	97.1831	93.3551	
PARTITION (3,0)	96.4789	96.8421	93.8156	
PARTITION (3,1)	95.0877	97.8873	93.8302	
PARTITION (4,0)	94.3662	96.8421	94.0818	
PARTITION (4,1)	95.0877	96.8310	92.6633	
MEAN			95.0439	97.0476	93.8035	
STDEV			0.9632	0.6518	0.5467	
